Year,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
January,5.65,1.99,2.97,7.79,4.27,6.60,3.52,3.29,0.82,3.30
February,2.53,0.84,1.89,6.47,2.60,1.47,2.90,1.98,2.19,5.88
March,0.78,0.93,3.26,1.12,0.92,3.44,1.18,3.95,2.38,2.76
April,0.02,4.30,1.60,2.50,0.61,2.01,0.21,2.88,0.60,1.60
May,0.50,2.20,1.98,3.13,2.48,2.01,3.46,2.38,1.28,0.55
June,3.93,5.67,0.89,1.72,0.75,3.76,3.15,0.22,5.04,1.02
July,1.42,4.56,0.17,3.18,2.00,0.48,3.16,1.62,3.11,1.47
August,2.55,2.48,2.22,4.80,4.70,1.72,3.63,2.91,2.48,1.86
September,1.56,2.62,2.89,0.44,3.03,1.11,2.90,1.17,3.33,2.05
October,1.06,4.99,6.18,4.58,2.11,1.16,1.25,2.02,5.92,7.37
November,1.33,3.52,2.86,6.21,3.61,4.55,2.08,5.57,5.62,2.83
December,4.04,6.16,7.60,2.28,3.75,0.67,4.55,4.20,6.02,5.79
